idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,4,2,4,1,4,1,n1:{"blacklist":[3;4];"seq":1;"fail_open":false}
2,2,1,2,1,4,1,n1:{"blacklist":[2;3];"seq":1;"fail_open":false}
3,1,7,1,1,4,1,n2:{"blacklist":[1;3];"seq":1;"fail_open":false}
4,7,1,7,1,4,1,n1:{"blacklist":[3;7];"seq":1;"fail_open":false}
5,1,5,1,1,4,1,n2:{"blacklist":[1;3];"seq":1;"fail_open":false}
6,5,4,5,1,4,1,n1:{"blacklist":[3;5];"seq":1;"fail_open":false}
7,4,6,4,1,4,1,n1:{"blacklist":[3;4];"seq":1;"fail_open":false}
8,6,7,6,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
9,7,1,6,1,6,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
10,1,2,6,1,4,1,n2:{"blacklist":[3;6];"seq":1;"fail_open":false}
