idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,4,6,-,0,1,2,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
2,6,5,-,0,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
3,5,4,-,0,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
4,4,2,-,0,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
5,2,6,-,0,1,2,0,n3:{"blacklist":[3];"seq":1;"fail_open":false}
6,6,7,-,0,1,2,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
7,7,2,-,0,1,6,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
8,2,5,-,0,1,2,0,n3:{"blacklist":[3];"seq":1;"fail_open":false}
9,5,2,-,0,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
10,2,5,-,0,1,2,0,n3:{"blacklist":[3];"seq":1;"fail_open":false}
