zeta,kappa,trial,scheduler,hc_miss_rate,lc_miss_rate
0.05,1.1,0,PSR (primary),0.0,1.0
0.05,1.1,0,PSR (slack-aware),0.0,1.0
0.05,1.1,1,EDF (baseline),0.0,0.0
0.05,1.1,1,LST,0.9805825242718447,0.9899244332493703
0.05,1.1,1,EQDF,0.0,0.010075566750629723
0.05,1.1,1,PSR (primary),0.0,1.0
0.05,1.1,1,PSR (slack-aware),0.0,1.0
0.05,1.1,2,EDF (baseline),0.0,0.0
0.05,1.1,2,LST,0.9818181818181818,0.9948717948717949
0.05,1.1,2,EQDF,0.0,0.002564102564102564
0.05,1.1,2,PSR (primary),0.0,1.0
0.05,1.1,2,PSR (slack-aware),0.0,1.0
0.05,1.1,3,EDF (baseline),0.0,0.03
0.05,1.1,3,LST,1.0,0.9975
0.05,1.1,3,EQDF,0.0,0.035
0.05,1.1,3,PSR (primary),0.0,1.0
0.05,1.1,3,PSR (slack-aware),0.0,1.0
0.05,1.1,4,EDF (baseline),0.0,0.0
0.05,1.1,4,LST,0.9797979797979798,0.9950124688279302
0.05,1.1,4,EQDF,0.0,0.0
0.05,1.1,4,PSR (primary),0.0,1.0
0.05,1.1,4,PSR (slack-aware),0.0,1.0
0.05,1.1,5,EDF (baseline),0.0,0.0025974025974025974
0.05,1.1,5,LST,1.0,0.9974025974025974
0.05,1.1,5,EQDF,0.0,0.0
0.05,1.1,5,PSR (primary),0.0,1.0
0.05,1.1,5,PSR (slack-aware),0.0,1.0
0.05,1.1,6,EDF (baseline),0.0,0.0
0.05,1.1,6,LST,1.0,0.9925373134328358
0.05,1.1,6,EQDF,0.0,0.0
0.05,1.1,6,PSR (primary),0.0,1.0
0.05,1.1,6,PSR (slack-aware),0.0,1.0
0.05,1.1,7,EDF (baseline),0.009900990099009901,0.005012531328320802
0.05,1.1,7,LST,0.9900990099009901,0.9899749373433584
0.05,1.1,7,EQDF,0.0,0.0
0.05,1.1,7,PSR (primary),0.0,1.0
0.05,1.1,7,PSR (slack-aware),0.0,1.0
0.05,1.1,8,EDF (baseline),0.0,0.0
0.05,1.1,8,LST,1.0,0.995
0.05,1.1,8,EQDF,0.0,0.0025
0.05,1.1,8,PSR (primary),0.0,1.0
0.05,1.1,8,PSR (slack-aware),0.0,1.0
0.05,1.1,9,EDF (baseline),0.0,0.005025125628140704
0.05,1.1,9,LST,0.9803921568627451,0.9874371859296482
0.05,1.1,9,EQDF,0.0,0.002512562814070352
0.05,1.1,9,PSR (primary),0.0,1.0
0.05,1.1,9,PSR (slack-aware),0.0,1.0
0.05,1.2,0,EDF (baseline),0.0,0.0
0.05,1.2,0,LST,0.9914529914529915,0.9895561357702349
0.05,1.2,0,EQDF,0.0,0.0
0.05,1.2,0,PSR (primary),0.0,1.0
0.05,1.2,0,PSR (slack-aware),0.0,1.0
0.05,1.2,1,EDF (baseline),0.0,0.0
0.05,1.2,1,LST,0.9805825242718447,0.9899244332493703
0.05,1.2,1,EQDF,0.0,0.010075566750629723
0.05,1.2,1,PSR (primary),0.0,1.0
0.05,1.2,1,PSR (slack-aware),0.0,1.0
0.05,1.2,2,EDF (baseline),0.0,0.0
0.05,1.2,2,LST,0.9818181818181818,0.9948717948717949
0.05,1.2,2,EQDF,0.0,0.002564102564102564
0.05,1.2,2,PSR (primary),0.0,1.0
0.05,1.2,2,PSR (slack-aware),0.0,1.0
0.05,1.2,3,EDF (baseline),0.0,0.03
0.05,1.2,3,LST,1.0,0.9975
0.05,1.2,3,EQDF,0.0,0.035
0.05,1.2,3,PSR (primary),0.0,1.0
0.05,1.2,3,PSR (slack-aware),0.0,1.0
0.05,1.2,4,EDF (baseline),0.0,0.0
0.05,1.2,4,LST,0.9797979797979798,0.9950124688279302
0.05,1.2,4,EQDF,0.0,0.0
0.05,1.2,4,PSR (primary),0.0,1.0
0.05,1.2,4,PSR (slack-aware),0.0,1.0
0.05,1.2,5,EDF (baseline),0.0,0.0025974025974025974
0.05,1.2,5,LST,1.0,0.9974025974025974
0.05,1.2,5,EQDF,0.0,0.0
0.05,1.2,5,PSR (primary),0.0,1.0
0.05,1.2,5,PSR (slack-aware),0.0,1.0
0.05,1.2,6,EDF (baseline),0.0,0.0
0.05,1.2,6,LST,1.0,0.9925373134328358
0.05,1.2,6,EQDF,0.0,0.0
0.05,1.2,6,PSR (primary),0.0,1.0
0.05,1.2,6,PSR (slack-aware),0.0,1.0
0.05,1.2,7,EDF (baseline),0.009900990099009901,0.005012531328320802
0.05,1.2,7,LST,0.9900990099009901,0.9899749373433584
0.05,1.2,7,EQDF,0.0,0.0
0.05,1.2,7,PSR (primary),0.0,1.0
0.05,1.2,7,PSR (slack-aware),0.0,1.0
0.05,1.2,8,EDF (baseline),0.0,0.0
0.05,1.2,8,LST,1.0,0.995
0.05,1.2,8,EQDF,0.0,0.0025
0.05,1.2,8,PSR (primary),0.0,1.0
0.05,1.2,8,PSR (slack-aware),0.0,1.0
0.05,1.2,9,EDF (baseline),0.0,0.005025125628140704
0.05,1.2,9,LST,0.9803921568627451,0.9874371859296482
0.05,1.2,9,EQDF,0.0,0.002512562814070352
0.05,1.2,9,PSR (primary),0.0,1.0
0.05,1.2,9,PSR (slack-aware),0.0,1.0
0.1,1.0,0,EDF (baseline),0.0,0.0
0.1,1.0,0,LST,0.9914529914529915,0.9895561357702349
0.1,1.0,0,EQDF,0.0,0.0
0.1,1.0,0,PSR (primary),0.0,1.0
0.1,1.0,0,PSR (slack-aware),0.0,1.0
0.1,1.0,1,EDF (baseline),0.0,0.0
0.1,1.0,1,LST,0.9805825242718447,0.9899244332493703
0.1,1.0,1,EQDF,0.009708737864077669,0.020151133501259445
0.1,1.0,1,PSR (primary),0.0,1.0
0.1,1.0,1,PSR (slack-aware),0.0,1.0
0.1,1.0,2,EDF (baseline),0.0,0.0
0.1,1.0,2,LST,0.9818181818181818,0.9948717948717949
0.1,1.0,2,EQDF,0.0,0.007692307692307693
0.1,1.0,2,PSR (primary),0.0,1.0
0.1,1.0,2,PSR (slack-aware),0.0,1.0
0.1,1.0,3,EDF (baseline),0.0,0.025
0.1,1.0,3,LST,1.0,0.9975
0.1,1.0,3,EQDF,0.0,0.035
0.1,1.0,3,PSR (primary),0.0,1.0
0.1,1.0,3,PSR (slack-aware),0.0,1.0
0.1,1.0,4,EDF (baseline),0.0,0.0
0.1,1.0,4,LST,0.9797979797979798,0.9950124688279302
0.1,1.0,4,EQDF,0.0,0.0
0.1,1.0,4,PSR (primary),0.0,1.0
0.1,1.0,4,PSR (slack-aware),0.0,1.0
0.1,1.0,5,EDF (baseline),0.0,0.012987012987012988
0.1,1.0,5,LST,1.0,0.9974025974025974
0.1,1.0,5,EQDF,0.0,0.0
0.1,1.0,5,PSR (primary),0.0,1.0
0.1,1.0,5,PSR (slack-aware),0.0,1.0
0.1,1.0,6,EDF (baseline),0.0,0.0
0.1,1.0,6,LST,1.0,0.9925373134328358
0.1,1.0,6,EQDF,0.0,0.0
0.1,1.0,6,PSR (primary),0.0,1.0
0.1,1.0,6,PSR (slack-aware),0.0,1.0
0.1,1.0,7,EDF (baseline),0.019801980198019802,0.005012531328320802
0.1,1.0,7,LST,0.9900990099009901,0.9899749373433584
0.1,1.0,7,EQDF,0.0,0.0
0.1,1.0,7,PSR (primary),0.0,1.0
0.1,1.0,7,PSR (slack-aware),0.0,1.0
0.1,1.0,8,EDF (baseline),0.0,0.0
0.1,1.0,8,LST,1.0,0.995
0.1,1.0,8,EQDF,0.0,0.01
0.1,1.0,8,PSR (primary),0.0,1.0
0.1,1.0,8,PSR (slack-aware),0.0,1.0
0.1,1.0,9,EDF (baseline),0.0,0.007537688442211055
0.1,1.0,9,LST,0.9803921568627451,0.9874371859296482
0.1,1.0,9,EQDF,0.0,0.002512562814070352
0.1,1.0,9,PSR (primary),0.0,1.0
0.1,1.0,9,PSR (slack-aware),0.0,1.0
0.1,1.05,0,EDF (baseline),0.0,0.0
0.1,1.05,0,LST,0.9914529914529915,0.9895561357702349
0.1,1.05,0,EQDF,0.0,0.0
0.1,1.05,0,PSR (primary),0.0,1.0
0.1,1.05,0,PSR (slack-aware),0.0,1.0
0.1,1.05,1,EDF (baseline),0.0,0.0
0.1,1.05,1,LST,0.9805825242718447,0.9899244332493703
0.1,1.05,1,EQDF,0.009708737864077669,0.020151133501259445
0.1,1.05,1,PSR (primary),0.0,1.0
0.1,1.05,1,PSR (slack-aware),0.0,1.0
0.1,1.05,2,EDF (baseline),0.0,0.0
0.1,1.05,2,LST,0.9818181818181818,0.9948717948717949
0.1,1.05,2,EQDF,0.0,0.007692307692307693
0.1,1.05,2,PSR (primary),0.0,1.0
0.1,1.05,2,PSR (slack-aware),0.0,1.0
0.1,1.05,3,EDF (baseline),0.0,0.025
0.1,1.05,3,LST,1.0,0.9975
0.1,1.05,3,EQDF,0.0,0.035
0.1,1.05,3,PSR (primary),0.0,1.0
0.1,1.05,3,PSR (slack-aware),0.0,1.0
0.1,1.05,4,EDF (baseline),0.0,0.0
0.1,1.05,4,LST,0.9797979797979798,0.9950124688279302
0.1,1.05,4,EQDF,0.0,0.0
0.1,1.05,4,PSR (primary),0.0,1.0
0.1,1.05,4,PSR (slack-aware),0.0,1.0
0.1,1.05,5,EDF (baseline),0.0,0.012987012987012988
0.1,1.05,5,LST,1.0,0.9974025974025974
0.1,1.05,5,EQDF,0.0,0.0
0.1,1.05,5,PSR (primary),0.0,1.0
0.1,1.05,5,PSR (slack-aware),0.0,1.0
0.1,1.05,6,EDF (baseline),0.0,0.0
0.1,1.05,6,LST,1.0,0.9925373134328358
0.1,1.05,6,EQDF,0.0,0.0
0.1,1.05,6,PSR (primary),0.0,1.0
0.1,1.05,6,PSR (slack-aware),0.0,1.0
0.1,1.05,7,EDF (baseline),0.019801980198019802,0.005012531328320802
0.1,1.05,7,LST,0.9900990099009901,0.9899749373433584
0.1,1.05,7,EQDF,0.0,0.0
0.1,1.05,7,PSR (primary),0.0,1.0
0.1,1.05,7,PSR (slack-aware),0.0,1.0
0.1,1.05,8,EDF (baseline),0.0,0.0
0.1,1.05,8,LST,1.0,0.995
0.1,1.05,8,EQDF,0.0,0.01
0.1,1.05,8,PSR (primary),0.0,1.0
0.1,1.05,8,PSR (slack-aware),0.0,1.0
0.1,1.05,9,EDF (baseline),0.0,0.007537688442211055
0.1,1.05,9,LST,0.9803921568627451,0.9874371859296482
0.1,1.05,9,EQDF,0.0,0.002512562814070352
0.1,1.05,9,PSR (primary),0.0,1.0
0.1,1.05,9,PSR (slack-aware),0.0,1.0
0.1,1.1,0,EDF (baseline),0.0,0.0
0.1,1.1,0,LST,0.9914529914529915,0.9895561357702349
0.1,1.1,0,EQDF,0.0,0.0
0.1,1.1,0,PSR (primary),0.0,1.0
0.1,1.1,0,PSR (slack-aware),0.0,1.0
0.1,1.1,1,EDF (baseline),0.0,0.0
0.1,1.1,1,LST,0.9805825242718447,0.9899244332493703
0.1,1.1,1,EQDF,0.009708737864077669,0.020151133501259445
0.1,1.1,1,PSR (primary),0.0,1.0
0.1,1.1,1,PSR (slack-aware),0.0,1.0
0.1,1.1,2,EDF (baseline),0.0,0.0
0.1,1.1,2,LST,0.9818181818181818,0.9948717948717949
0.1,1.1,2,EQDF,0.0,0.007692307692307693
0.1,1.1,2,PSR (primary),0.0,1.0
0.1,1.1,2,PSR (slack-aware),0.0,1.0
0.1,1.1,3,EDF (baseline),0.0,0.025
0.1,1.1,3,LST,1.0,0.9975
0.1,1.1,3,EQDF,0.0,0.035
0.1,1.1,3,PSR (primary),0.0,1.0
0.1,1.1,3,PSR (slack-aware),0.0,1.0
0.1,1.1,4,EDF (baseline),0.0,0.0
0.1,1.1,4,LST,0.9797979797979798,0.9950124688279302
0.1,1.1,4,EQDF,0.0,0.0
0.1,1.1,4,PSR (primary),0.0,1.0
0.1,1.1,4,PSR (slack-aware),0.0,1.0
0.1,1.1,5,EDF (baseline),0.0,0.012987012987012988
0.1,1.1,5,LST,1.0,0.9974025974025974
0.1,1.1,5,EQDF,0.0,0.0
0.1,1.1,5,PSR (primary),0.0,1.0
0.1,1.1,5,PSR (slack-aware),0.0,1.0
0.1,1.1,6,EDF (baseline),0.0,0.0
0.1,1.1,6,LST,1.0,0.9925373134328358
0.1,1.1,6,EQDF,0.0,0.0
0.1,1.1,6,PSR (primary),0.0,1.0
0.1,1.1,6,PSR (slack-aware),0.0,1.0
0.1,1.1,7,EDF (baseline),0.019801980198019802,0.005012531328320802
0.1,1.1,7,LST,0.9900990099009901,0.9899749373433584
0.1,1.1,7,EQDF,0.0,0.0
0.1,1.1,7,PSR (primary),0.0,1.0
0.1,1.1,7,PSR (slack-aware),0.0,1.0
0.1,1.1,8,EDF (baseline),0.0,0.0
0.1,1.1,8,LST,1.0,0.995
0.1,1.1,8,EQDF,0.0,0.01
0.1,1.1,8,PSR (primary),0.0,1.0
0.1,1.1,8,PSR (slack-aware),0.0,1.0
0.1,1.1,9,EDF (baseline),0.0,0.007537688442211055
0.1,1.1,9,LST,0.9803921568627451,0.9874371859296482
0.1,1.1,9,EQDF,0.0,0.002512562814070352
0.1,1.1,9,PSR (primary),0.0,1.0
0.1,1.1,9,PSR (slack-aware),0.0,1.0
0.1,1.2,0,EDF (baseline),0.0,0.0
0.1,1.2,0,LST,0.9914529914529915,0.9895561357702349
0.1,1.2,0,EQDF,0.0,0.0
0.1,1.2,0,PSR (primary),0.0,1.0
0.1,1.2,0,PSR (slack-aware),0.0,1.0
0.1,1.2,1,EDF (baseline),0.0,0.0
0.1,1.2,1,LST,0.9805825242718447,0.9899244332493703
0.1,1.2,1,EQDF,0.009708737864077669,0.020151133501259445
0.1,1.2,1,PSR (primary),0.0,1.0
0.1,1.2,1,PSR (slack-aware),0.0,1.0
0.1,1.2,2,EDF (baseline),0.0,0.0
0.1,1.2,2,LST,0.9818181818181818,0.9948717948717949
0.1,1.2,2,EQDF,0.0,0.007692307692307693
0.1,1.2,2,PSR (primary),0.0,1.0
0.1,1.2,2,PSR (slack-aware),0.0,1.0
0.1,1.2,3,EDF (baseline),0.0,0.025
0.1,1.2,3,LST,1.0,0.9975
0.1,1.2,3,EQDF,0.0,0.035
0.1,1.2,3,PSR (primary),0.0,1.0
0.1,1.2,3,PSR (slack-aware),0.0,1.0
