load_tps,seed,p50_raft,p99_raft,p50_ai,p99_ai,p50_bft,p99_bft,view_changes
500,7,6.435066788717992,15.095346041320152,6.160186711254493,11.630054557939902,24.9892477444121,104.27369307449257,9
500,8,6.374071573299625,13.611942381057272,6.305977023904067,13.212663279404419,24.937865383574493,103.4539200613513,9
500,9,6.360496683760059,14.131108998103636,6.351169629215272,13.160104167452092,24.906171182715084,105.4912544716469,9
500,10,6.504914806932007,13.240583855199095,6.170549079010931,12.495274712560118,24.835365854823312,104.06968227633374,9
500,11,6.369715571387491,13.622795928711822,6.21133736804539,14.251558360909877,24.98292296751355,104.9531295907393,9
500,12,6.548076442823368,15.091943005567655,6.2330549665165105,13.621645944173068,24.891635267322215,102.86210853319565,9
500,13,6.503393088324485,14.087991050519943,6.317217720517534,14.595102214206124,24.743449892881777,105.0761283531262,9
500,14,6.269418645659133,13.064308899335359,6.313270179747917,13.131581331236893,24.631603684117522,103.39099221915022,9
500,15,6.548755007905491,13.424729692244014,6.166128147062443,12.662685700858338,24.854842052657865,103.34324989817384,9
500,16,6.3687287606596525,15.83060996402056,6.180713901679724,12.602014969068383,25.141285235133715,103.21130920262448,9
500,17,6.300926683226235,14.188655040834595,6.267794694536914,12.347168063726569,24.591371207146125,105.03665139337939,9
500,18,6.326079172850163,14.07510975685018,6.2463036014921105,13.691333201327287,25.354156780097462,104.71821728892016,9
500,19,6.447312183771182,14.452513255448368,6.241210192346754,12.493701299422813,24.647637452284386,104.08040603229743,9
500,20,6.311922489108328,13.386814879684447,6.188702725502361,12.82047599155944,24.80069600704661,103.72690164632961,9
500,21,6.396757214565116,12.993859601656519,6.250192335602691,13.904138267834686,25.135504594756977,104.58410885356018,9
500,22,6.299131924131148,13.201526656619183,6.198724111237667,13.953956871632336,24.82684015826551,103.15296476630918,9
500,23,6.447800887815381,13.878471460866624,6.27533472218347,13.824041760933726,24.80825855860667,104.67004009853274,9
500,24,6.502630410340105,14.076212279376572,6.315639256857251,12.337559668923445,24.823116230271197,106.29062048669205,9
500,25,6.534119826148465,14.45656671791726,6.334778891484327,11.959546526741633,24.54449692677614,103.54819644331225,9
500,26,6.361129679215823,14.48113329751841,6.26612332830277,13.819090550234609,24.796027188296186,105.24811391986076,9
500,27,6.6103125818684525,15.848212949804596,6.284779063896307,12.799306767352453,24.913698178937764,105.70486791248355,9
500,28,6.463011410480181,14.25475742394131,6.246605597088289,12.2765675464302,25.081189334766318,105.56825722434816,9
500,29,6.313797257269799,13.086828018715362,6.1482139129477344,13.053408483591358,24.97012110725138,106.15015182294111,9
1000,0,6.596432971812055,13.910338678136345,6.206266349909374,12.635057318353315,24.778611635881898,102.7281601263909,9
1000,1,6.284074189767967,13.85047580875531,6.2673601295561845,14.789048197412662,24.68883565025413,103.822220087052,9
1000,2,6.250425376766173,12.414209589109742,6.260284904786742,11.560327241569679,24.76686932249428,104.11000612303306,9
1000,3,6.474706008370227,13.512168127938178,6.243865933555819,13.192937444799169,24.654680111896035,103.90397940919215,9
1000,4,6.3950694381997035,13.969059191036239,6.275876115255505,12.412592836257186,24.544228988302493,104.79205328232914,9
1000,5,6.433327635268338,12.358165436186026,6.136190876822613,13.305691089791774,24.58713909906931,106.63905072217504,9
1000,6,6.4251818905010385,13.202556074117695,6.19039092747607,12.01023817161686,24.74222505551767,105.34235081118344,9
1000,7,6.435066788717992,15.095346041320152,6.160186711254493,11.630054557939902,24.9892477444121,104.27369307449257,9
1000,8,6.374071573299625,13.611942381057272,6.305977023904067,13.212663279404419,24.937865383574493,103.4539200613513,9
1000,9,6.360496683760059,14.131108998103636,6.351169629215272,13.160104167452092,24.906171182715084,105.4912544716469,9
1000,10,6.504914806932007,13.240583855199095,6.170549079010931,12.495274712560118,24.835365854823312,104.06968227633374,9
1000,11,6.369715571387491,13.622795928711822,6.21133736804539,14.251558360909877,24.98292296751355,104.9531295907393,9
1000,12,6.548076442823368,15.091943005567655,6.2330549665165105,13.621645944173068,24.891635267322215,102.86210853319565,9
1000,13,6.503393088324485,14.087991050519943,6.317217720517534,14.595102214206124,24.743449892881777,105.0761283531262,9
1000,14,6.269418645659133,13.064308899335359,6.313270179747917,13.131581331236893,24.631603684117522,103.39099221915022,9
1000,15,6.548755007905491,13.424729692244014,6.166128147062443,12.662685700858338,24.854842052657865,103.34324989817384,9
1000,16,6.3687287606596525,15.83060996402056,6.180713901679724,12.602014969068383,25.141285235133715,103.21130920262448,9
1000,17,6.300926683226235,14.188655040834595,6.267794694536914,12.347168063726569,24.591371207146125,105.03665139337939,9
1000,18,6.326079172850163,14.07510975685018,6.2463036014921105,13.691333201327287,25.354156780097462,104.71821728892016,9
1000,19,6.447312183771182,14.452513255448368,6.241210192346754,12.493701299422813,24.647637452284386,104.08040603229743,9
1000,20,6.311922489108328,13.386814879684447,6.188702725502361,12.82047599155944,24.80069600704661,103.72690164632961,9
1000,21,6.396757214565116,12.993859601656519,6.250192335602691,13.904138267834686,25.135504594756977,104.58410885356018,9
1000,22,6.299131924131148,13.201526656619183,6.198724111237667,13.953956871632336,24.82684015826551,103.15296476630918,9
1000,23,6.447800887815381,13.878471460866624,6.27533472218347,13.824041760933726,24.80825855860667,104.67004009853274,9
1000,24,6.502630410340105,14.076212279376572,6.315639256857251,12.337559668923445,24.823116230271197,106.29062048669205,9
1000,25,6.534119826148465,14.45656671791726,6.334778891484327,11.959546526741633,24.54449692677614,103.54819644331225,9
1000,26,6.361129679215823,14.48113329751841,6.26612332830277,13.819090550234609,24.796027188296186,105.24811391986076,9
1000,27,6.6103125818684525,15.848212949804596,6.284779063896307,12.799306767352453,24.913698178937764,105.70486791248355,9
1000,28,6.463011410480181,14.25475742394131,6.246605597088289,12.2765675464302,25.081189334766318,105.56825722434816,9
1000,29,6.313797257269799,13.086828018715362,6.1482139129477344,13.053408483591358,24.97012110725138,106.15015182294111,9
1500,0,6.596432971812055,13.910338678136345,6.206266349909374,12.635057318353315,24.778611635881898,102.7281601263909,9
1500,1,6.284074189767967,13.85047580875531,6.2673601295561845,14.789048197412662,24.68883565025413,103.822220087052,9
1500,2,6.250425376766173,12.414209589109742,6.260284904786742,11.560327241569679,24.76686932249428,104.11000612303306,9
1500,3,6.474706008370227,13.512168127938178,6.243865933555819,13.192937444799169,24.654680111896035,103.90397940919215,9
1500,4,6.3950694381997035,13.969059191036239,6.275876115255505,12.412592836257186,24.544228988302493,104.79205328232914,9
1500,5,6.433327635268338,12.358165436186026,6.136190876822613,13.305691089791774,24.58713909906931,106.63905072217504,9
1500,6,6.4251818905010385,13.202556074117695,6.19039092747607,12.01023817161686,24.74222505551767,105.34235081118344,9
1500,7,6.435066788717992,15.095346041320152,6.160186711254493,11.630054557939902,24.9892477444121,104.27369307449257,9
1500,8,6.374071573299625,13.611942381057272,6.305977023904067,13.212663279404419,24.937865383574493,103.4539200613513,9
1500,9,6.360496683760059,14.131108998103636,6.351169629215272,13.160104167452092,24.906171182715084,105.4912544716469,9
1500,10,6.504914806932007,13.240583855199095,6.170549079010931,12.495274712560118,24.835365854823312,104.06968227633374,9
