idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,5,4,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
2,4,5,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
3,5,2,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
4,2,5,2,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
5,5,1,5,1,4,1,n1:{"blacklist":[3;5];"seq":1;"fail_open":false}
6,1,6,-,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
7,6,7,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
8,7,2,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
9,2,4,-,1,2,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
10,4,7,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
