idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,6,2,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
2,2,4,-,0,1,2,0,n3:{"blacklist":[];"seq":1;"fail_open":false}
3,4,7,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
4,7,4,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
5,4,7,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
6,7,4,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
7,4,7,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
8,7,5,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
9,5,4,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
10,4,5,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
