idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,2,4,2,0,1,4,0,n3:{"blacklist":[];"seq":1;"fail_open":false}
2,4,5,4,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
3,5,2,5,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
4,2,4,2,0,1,2,0,n3:{"blacklist":[];"seq":1;"fail_open":false}
5,4,6,4,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
6,6,2,6,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
7,2,4,2,0,1,2,0,n3:{"blacklist":[];"seq":1;"fail_open":false}
8,4,5,2,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
9,5,6,2,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
10,6,2,2,1,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
