load_tps,seed,p50_van,p99_van,p50_ai,p99_ai,p50_bft,p99_bft
500,10,6.446386706654508,11.584131218597868,6.366264430561127,12.302550548853267,20.44076771692972,31.374490775302608
500,11,6.313986496742876,13.239472001527757,6.259305990339404,12.848884178808056,20.377731528897527,29.355323120290702
500,12,6.55407276710338,13.735289483584852,6.3587203656859845,14.085409623060524,20.556806573119744,30.95105912792103
500,13,6.51000511288073,14.09095612823221,6.400107799116349,13.054186898677916,20.30774052202173,31.774547932740568
500,14,6.2889988862994315,13.335544727046333,6.209440930866155,12.237895340679065,20.718281560361557,29.715113078582903
500,15,6.744699731713384,13.424798899460106,6.176654793422879,12.330349059286018,20.441896240644667,30.160738090789675
500,16,6.354938711035945,17.307387278646168,6.233183260728568,12.5926289238687,20.49638951195279,33.88077743284955
500,17,6.318802739848882,13.985723508417971,6.095332354381008,13.269169225905921,20.23454028111685,27.67368916841356
500,18,6.3816556585419,14.129606702472772,6.109576024333509,11.113396035887526,20.481484590224593,32.28387002131297
500,19,6.473007185982935,14.471980301719677,6.3190751664907285,12.57561129563705,20.226729860859606,31.63020101820704
500,20,6.311922489108328,13.511984616365897,6.136411619568395,12.623167031885252,20.4508976348283,30.469307722683688
500,21,6.396757214565116,14.20429656625277,6.292163918050271,12.0436920858903,20.500267229922784,31.842875108114193
500,22,6.327679954222367,12.908591668204455,6.124881696734425,13.105560236571915,20.29090674583656,30.81250993980254
500,23,6.447800887815381,14.619985749278886,6.230096057448604,12.539550074569677,19.93245387576041,32.39522872719908
500,24,6.589827998455503,13.35467674623796,6.313961163833151,13.176337839679526,20.296294268683333,30.180818987611815
500,25,6.595077798679256,14.932397471101112,6.361363956682857,12.312347433032572,20.049166801935996,30.747105307532415
500,26,6.371784170774445,13.08118765088925,6.329394593626008,13.82815729655852,20.226195890192315,30.864401900801376
500,27,6.4895882697264256,15.06326003708585,6.479973363162502,14.583567039665779,20.27894464508541,31.129061634020577
500,28,6.456723267384325,14.25475742394131,6.317292741244106,13.217969168899499,20.548246231855803,29.688229447713905
500,29,6.198318724533443,13.478858864038246,6.229592579502054,11.861460427459424,20.31372598870453,30.859578553023365
1000,0,6.602201124604467,14.449152058344659,6.287541978796097,12.185150272851345,20.116298855756934,33.05520815234601
1000,1,6.391393804052303,13.950439988782692,6.149909375600739,12.719928882798872,20.514572070582705,30.803631036895364
1000,2,6.23853746089816,12.446390942207488,6.164261498372219,11.498600798773676,20.4523739633902,31.63969487792999
1000,3,6.800416579127965,13.882796862560102,6.084862435503723,11.686734877080035,20.262663436281976,31.358150460044218
1000,4,6.471632453747721,14.320662588658086,6.178765557342844,12.926583644323253,20.265323120247352,30.988350386830046
1000,5,6.554651161679458,12.222181977406645,6.11873950734738,12.539355659249086,20.41198970123584,33.5945616349981
1000,6,6.316286248629645,13.550834680878218,6.274580792171289,11.918385207841585,20.378295601572997,32.950947448965124
1000,7,6.452228396885272,15.154616247551553,6.159128856244687,13.620541463689996,20.386233523155298,31.15376418995791
1000,8,6.284664923471114,15.06950522518419,6.319523287681498,13.230503245954713,20.370156159833364,32.17691480583716
1000,9,6.447328518874734,13.740089874470389,6.141562122411477,13.21565727773694,20.47964823732732,31.39335299235613
1000,10,6.446386706654508,11.584131218597868,6.366264430561127,12.302550548853267,20.44076771692972,31.374490775302608
1000,11,6.313986496742876,13.239472001527757,6.259305990339404,12.848884178808056,20.377731528897527,29.355323120290702
1000,12,6.55407276710338,13.735289483584852,6.3587203656859845,14.085409623060524,20.556806573119744,30.95105912792103
1000,13,6.51000511288073,14.09095612823221,6.400107799116349,13.054186898677916,20.30774052202173,31.774547932740568
1000,14,6.2889988862994315,13.335544727046333,6.209440930866155,12.237895340679065,20.718281560361557,29.715113078582903
1000,15,6.744699731713384,13.424798899460106,6.176654793422879,12.330349059286018,20.441896240644667,30.160738090789675
1000,16,6.354938711035945,17.307387278646168,6.233183260728568,12.5926289238687,20.49638951195279,33.88077743284955
1000,17,6.318802739848882,13.985723508417971,6.095332354381008,13.269169225905921,20.23454028111685,27.67368916841356
1000,18,6.3816556585419,14.129606702472772,6.109576024333509,11.113396035887526,20.481484590224593,32.28387002131297
1000,19,6.473007185982935,14.471980301719677,6.3190751664907285,12.57561129563705,20.226729860859606,31.63020101820704
1000,20,6.311922489108328,13.511984616365897,6.136411619568395,12.623167031885252,20.4508976348283,30.469307722683688
1000,21,6.396757214565116,14.20429656625277,6.292163918050271,12.0436920858903,20.500267229922784,31.842875108114193
1000,22,6.327679954222367,12.908591668204455,6.124881696734425,13.105560236571915,20.29090674583656,30.81250993980254
1000,23,6.447800887815381,14.619985749278886,6.230096057448604,12.539550074569677,19.93245387576041,32.39522872719908
1000,24,6.589827998455503,13.35467674623796,6.313961163833151,13.176337839679526,20.296294268683333,30.180818987611815
1000,25,6.595077798679256,14.932397471101112,6.361363956682857,12.312347433032572,20.049166801935996,30.747105307532415
1000,26,6.371784170774445,13.08118765088925,6.329394593626008,13.82815729655852,20.226195890192315,30.864401900801376
1000,27,6.4895882697264256,15.06326003708585,6.479973363162502,14.583567039665779,20.27894464508541,31.129061634020577
1000,28,6.456723267384325,14.25475742394131,6.317292741244106,13.217969168899499,20.548246231855803,29.688229447713905
1000,29,6.198318724533443,13.478858864038246,6.229592579502054,11.861460427459424,20.31372598870453,30.859578553023365
1500,0,6.602201124604467,14.449152058344659,6.287541978796097,12.185150272851345,20.116298855756934,33.05520815234601
1500,1,6.391393804052303,13.950439988782692,6.149909375600739,12.719928882798872,20.514572070582705,30.803631036895364
1500,2,6.23853746089816,12.446390942207488,6.164261498372219,11.498600798773676,20.4523739633902,31.63969487792999
1500,3,6.800416579127965,13.882796862560102,6.084862435503723,11.686734877080035,20.262663436281976,31.358150460044218
1500,4,6.471632453747721,14.320662588658086,6.178765557342844,12.926583644323253,20.265323120247352,30.988350386830046
1500,5,6.554651161679458,12.222181977406645,6.11873950734738,12.539355659249086,20.41198970123584,33.5945616349981
1500,6,6.316286248629645,13.550834680878218,6.274580792171289,11.918385207841585,20.378295601572997,32.950947448965124
1500,7,6.452228396885272,15.154616247551553,6.159128856244687,13.620541463689996,20.386233523155298,31.15376418995791
1500,8,6.284664923471114,15.06950522518419,6.319523287681498,13.230503245954713,20.370156159833364,32.17691480583716
1500,9,6.447328518874734,13.740089874470389,6.141562122411477,13.21565727773694,20.47964823732732,31.39335299235613
1500,10,6.446386706654508,11.584131218597868,6.366264430561127,12.302550548853267,20.44076771692972,31.374490775302608
1500,11,6.313986496742876,13.239472001527757,6.259305990339404,12.848884178808056,20.377731528897527,29.355323120290702
1500,12,6.55407276710338,13.735289483584852,6.3587203656859845,14.085409623060524,20.556806573119744,30.95105912792103
1500,13,6.51000511288073,14.09095612823221,6.400107799116349,13.054186898677916,20.30774052202173,31.774547932740568
1500,14,6.2889988862994315,13.335544727046333,6.209440930866155,12.237895340679065,20.718281560361557,29.715113078582903
1500,15,6.744699731713384,13.424798899460106,6.176654793422879,12.330349059286018,20.441896240644667,30.160738090789675
1500,16,6.354938711035945,17.307387278646168,6.233183260728568,12.5926289238687,20.49638951195279,33.88077743284955
