idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,7,2,7,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
2,7,3,7,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
3,4,5,4,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
4,2,4,2,0,1,2,0,n3:{"blacklist":[];"seq":1;"fail_open":false}
5,4,6,4,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
6,3,5,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
7,6,7,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
8,7,3,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
9,4,6,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
10,6,3,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
