2,1,1781071997822,1781071998138,316,OK
2,2,1781071998150,1781071998468,318,OK
2,3,1781071998474,1781071998793,319,OK
2,4,1781071998804,1781071999096,292,OK
2,5,1781071999103,1781071999396,293,OK
2,6,1781071999401,1781071999693,292,OK
2,7,1781071999703,1781071999988,285,OK
2,8,1781071999998,1781072000290,292,OK
2,9,1781072000297,1781072000577,280,OK
2,10,1781072000585,1781072000887,302,OK
2,11,1781072000893,1781072001210,317,OK
2,12,1781072001218,1781072001501,283,OK
2,13,1781072001509,1781072001808,299,OK
2,14,1781072001815,1781072002118,303,OK
2,15,1781072002124,1781072002407,283,OK
